title,normalPrice,salePrice,release_year
ROUTINE,49.48,21.58,2025
SOMA,29.99,1.49,2015
Deus Ex: Human Revolution - Director's Cut,19.99,2.99,2013
Metro 2033 Redux,19.99,1.99,2014
Rise of the Tomb Raider,29.99,2.99,2016
Aces and Adventures,19.99,1.99,2023
Tails of Iron,24.99,1.99,2021
Nioh: Complete Edition,49.99,4.99,2017
Tomb Raider: Anniversary,8.99,0.98,2007
Red Dead Redemption 2,99.99,19.99,2019
Unity of Command II,29.99,4.49,2019
Assassins Creed Origins,59.99,5.99,2017
The Holy Gosh Darn,19.99,3.99,2024
Lords Of The Fallen 2014,29.99,1.49,2014
Hacknet,9.99,1.49,2015
Helheim Hassle,19.99,0.99,2020
Valfaris,24.99,3.74,2019
Assassins Creed Valhalla,59.99,5.99,2020
Invincible Presents: Atom Eve,9.99,0.99,2023
Beyond the Long Night,17.99,1.79,2023
